JOURNAL_TITLE,JOURNAL_SUBJECTS
CCIT (Creative Communication and Innovative Technology) Journal,Computer Science & IT
Infotekmesin,"Computer Science & IT, Electrical & Electronics Engineering, Mechanical Engineering"
JURNAL EDUCATION AND DEVELOPMENT,"Agriculture, Biological Sciences & Forestry, Arts, Humanities, Computer Science & IT, Education, Languange, Linguistic, Communication & Media"
INFORMAL: Informatics Journal,Computer Science & IT
"Journal of Game, Game Art, and Gamification (JGGAG)","Arts, Computer Science & IT"
Jurnal Ilmiah Teknologi Informasi Asia,Computer Science & IT
Technomedia Journal,"Computer Science & IT, Languange, Linguistic, Communication & Media"
Jurnal Manajemen Informatika dan Sistem Informasi,Computer Science & IT
DOUBLECLICK: Journal of Computer and Information Technology,Computer Science & IT
Computer Based Information System Journal,"Computer Science & IT, Control & Systems Engineering, Library & Information Science"
Jurnal PIKSEL (Penelitian Ilmu Komputer Sistem Embedded & Logic),"Computer Science & IT, Decision Sciences, Operations Research & Management"
Infoman's,Computer Science & IT
INFORMATION SYSTEM FOR EDUCATORS AND PROFESSIONALS,"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management , Engineering, Other"
Dinamika Informatika,Computer Science & IT
Antivirus : Jurnal Ilmiah Teknik Informatika,Computer Science & IT
Jurnal INSTEK (Informatika Sains dan Teknologi),"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management , Engineering"
JUTIM (Jurnal Teknik Informatika Musirawas),"Computer Science & IT, Control & Systems Engineering, Engineering, Other"
J-SAKTI (Jurnal Sains Komputer dan Informatika),Computer Science & IT
Jurnal AKSI (Akuntansi dan Sistem Informasi),"Computer Science & IT, Economics, Econometrics & Finance"
Jurnal Pendidikan Informatika dan Sains,"Chemical Engineering, Chemistry & Bioengineering, Computer Science & IT, Physics"
Jurnal Abdimas PHB : Jurnal Pengabdian Masyarakat Progresif Humanis Brainstorming,"Automotive Engineering, Computer Science & IT, Mechanical Engineering, Public Health"
JURNAL TIARSIE,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Electrical & Electronics Engineering, Engineering"
Jurnal Teknologi Informasi dan Pendidikan,"Computer Science & IT, Control & Systems Engineering, Education, Engineering"
RABIT: Jurnal Teknologi dan Sistem Informasi Univrab,"Computer Science & IT, Engineering"
INOVTEK POLBENG,Computer Science & IT
Voice Of Informatics,Computer Science & IT
"TRANSFORMATIKA: JURNAL BAHASA, SASTRA, DAN PENGAJARANNYA",Computer Science & IT
Compiler,Computer Science & IT
Bina Insani ICT Journal,Computer Science & IT
JURNAL KAJIAN TEKNIK ELEKTRO,"Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering"
KOMTEKINFO,Computer Science & IT
Smart Comp,"Computer Science & IT, Control & Systems Engineering"
Menara Ilmu,"Agriculture, Biological Sciences & Forestry, Computer Science & IT, Education"
Technologia: Jurnal Ilmiah,Computer Science & IT
International Journal of Innovation in Enterprise System,"Computer Science & IT, Control & Systems Engineering"
Jurnal Teknologi Terpadu,"Computer Science & IT, Engineering"
Buana Ilmu,"Computer Science & IT, Economics, Econometrics & Finance, Education, Engineering, Law, Crime, Criminology & Criminal Justice"
Jurnal Technopreneur (JTech),"Agriculture, Biological Sciences & Forestry, Computer Science & IT, Energy, Mechanical Engineering, Other"
Jurnal Ilmiah Media Sisfo,Computer Science & IT
JURNAL REKAYASA SISTEM INDUSTRI,"Computer Science & IT, Economics, Econometrics & Finance, Industrial & Manufacturing Engineering, Materials Science & Nanotechnology"
Jutisi: Jurnal Ilmiah Teknik Informatika dan Sistem Informasi,Computer Science & IT
Jurnal Madani,"Religion, Computer Science & IT, Decision Sciences, Operations Research & Management , Economics, Econometrics & Finance, Education"
Jurnal Teknologi,"Computer Science & IT, Electrical & Electronics Engineering, Industrial & Manufacturing Engineering, Mechanical Engineering"
Altius: Jurnal Ilmu Olahraga dan Kesehatan,"Computer Science & IT, Education, Public Health"
"Jurnal Fokus Elektroda : Energi Listrik, Telekomunikasi, Komputer, Elektronika dan Kendali","Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering"
JURNAL SISTEM INFORMASI,"Computer Science & IT, Decision Sciences, Operations Research & Management , Library & Information Science, Other"
Jurnal Buana Informatika,Computer Science & IT
JURNAL MASYARAKAT INFORMATIKA,Computer Science & IT
Network Engineering Research Operation [NERO],Computer Science & IT
J-ENSITEC,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Industrial & Manufacturing Engineering, Mechanical Engineering"
"TELEKONTRAN: Jurnal Ilmiah Telekomunikasi, Kendali dan Elektronika Terapan","Computer Science & IT, Control & Systems Engineering"
Jurnal Eksplora Informatika,Computer Science & IT
TEKNOLOGI: Jurnal Ilmiah Sistem Informasi,"Computer Science & IT, Decision Sciences, Operations Research & Management , Electrical & Electronics Engineering, Engineering, Mathematics"
Majalah Bisnis Dan IPTEK,Computer Science & IT
AL ULUM JURNAL SAINS DAN TEKNOLOGI,"Computer Science & IT, Education, Mathematics"
Edu Komputika Journal,Computer Science & IT
Information Management For Educators And Professionals (IMBI),"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management , Engineering, Other"
