JOURNAL_TITLE,JOURNAL_SUBJECTS
Humanus,"Arts, Humanities"
Naditira Widya,"Arts, Humanities"
Jurnal Ilmiah Peuradeun,"Religion, Humanities, Education, Law, Crime, Criminology & Criminal Justice, Social Sciences"
Psikohumaniora: Jurnal Penelitian Psikologi,"Education, Public Health, Social Sciences, Other"
Jurnal Edukasi dan Penelitian Informatika (JEPIN),"Computer Science & IT, Education"
IKONOMIKA,"Economics, Econometrics & Finance"
Beta: Jurnal Tadris Matematika,"Education, Social Sciences"
Jurnal Kelautan Tropis,
Jurnal Kebijakan Perikanan Indonesia,"Agriculture, Biological Sciences & Forestry"
Jurnal ASPIKOM,Social Sciences
Jurnal Kawistara,Education
Journal of Educational Science and Technology,"Education, Engineering"
Assets: Jurnal Akuntansi dan Pendidikan,"Economics, Econometrics & Finance, Education, Social Sciences"
Jurnal Akuntansi Multiparadigma,"Economics, Econometrics & Finance"
Jurnal Teknik Elektro,Electrical & Electronics Engineering
Journal of English Educators Society,"Education, Languange, Linguistic, Communication & Media"
Jurnal Iktiologi Indonesia,"Agriculture, Biological Sciences & Forestry, Education, Public Health"
"Jurnal Pendidikan: Teori, Penelitian, dan Pengembangan",Education
Jurnal Penelitian Komunikasi dan Opini Publik,"Arts, Humanities, Other"
Jurnal Ilmiah Kebijakan Hukum,"Law, Crime, Criminology & Criminal Justice"
EDUKASI: Jurnal Penelitian Pendidikan Agama dan Keagamaan,Education
Jurnal Kajian Akuntansi,"Economics, Econometrics & Finance, Social Sciences"
Jurnal Inovasi Pendidikan IPA,"Agriculture, Biological Sciences & Forestry, Education, Mathematics"
Jurnal Obsesi : Jurnal Pendidikan Anak Usia Dini,Social Sciences
The Journal of Pure and Applied Chemistry Research,Chemistry
Jurnal Komunikasi Indonesia,"Languange, Linguistic, Communication & Media"
LIMNOTEK - Perairan Darat Tropis di Indonesia,"Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Environmental Science"
Aksara,"Languange, Linguistic, Communication & Media"
MUQTASID,"Economics, Econometrics & Finance"
Manajemen dan Pemasaran Jasa,"Decision Sciences, Operations Research & Management , Economics, Econometrics & Finance, Social Sciences"
Jurnal Pendidikan Fisika Indonesia,"Education, Physics"
Jurnal Penelitian dan Pembelajaran IPA,Education
CommIT (Communication & Information Technology),Computer Science & IT
Jurnal Riset Akuakultur,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
Jurnal Ilmu-Ilmu Peternakan,Other
Jurnal SPORTIF : Jurnal Penelitian Pembelajaran,Education
Lontar Komputer,Computer Science & IT
Indonesian Journal of Cancer Chemoprevention,"Biochemistry, Genetics & Molecular Biology, Medicine & Pharmacology"
English Review: Journal of English Education,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media"
Eralingua : Jurnal Pendidikan Bahasa Asing dan Sastra,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media"
Jurnal Ekonomi dan Bisnis,"Arts, Humanities, Economics, Econometrics & Finance, Social Sciences"
COUNS-EDU: The International Journal of Counseling and Education,Education
"ELKOMIKA: Jurnal Teknik Energi Elektrik, Teknik Telekomunikasi, & Teknik Elektronika","Electrical & Electronics Engineering, Engineering"
Jurnal Tanah dan Iklim,"Agriculture, Biological Sciences & Forestry, Social Sciences, Other"
MAKARA of Science Series,"Biochemistry, Genetics & Molecular Biology, Chemistry, Earth & Planetary Sciences, Materials Science & Nanotechnology, Physics"
Economics Development Analysis Journal,"Economics, Econometrics & Finance"
Jurnal Sylva Lestari,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Economics, Econometrics & Finance"
Oseanologi dan Limnologi di Indonesia,"Biochemistry, Genetics & Molecular Biology, Earth & Planetary Sciences, Environmental Science"
Jurnal Administrasi  Kesehatan Indonesia,Health Professions
"Mechatronics, Electrical Power, and Vehicular Technology",Electrical & Electronics Engineering
Sawwa Jurnal Studi Gender,Education
Episteme: Jurnal Pengembangan Ilmu Keislaman,"Religion, Arts, Humanities"
Indonesian Fisheries Research Journal,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
Jurnal Penelitian Kelapa Sawit,"Agriculture, Biological Sciences & Forestry"
Jurnal Irigasi,"Civil Engineering, Building, Construction & Architecture"
MEDIA KOMUNIKASI TEKNIK SIPIL,"Civil Engineering, Building, Construction & Architecture"
DUNAMIS: Jurnal Teologi dan Pendidikan Kristiani,"Religion, Education, Social Sciences, Other"
al-Uqud : Journal of Islamic Economics,"Economics, Econometrics & Finance"
Jurnal Global Strategies,"Arts, Humanities, Social Sciences, Other"
Jurnal Keuangan dan Perbankan,"Economics, Econometrics & Finance"
Jurnal Komunikasi Ikatan Sarjana Komunikasi Indonesia,"Languange, Linguistic, Communication & Media, Law, Crime, Criminology & Criminal Justice"
Pelita Perkebunan (Coffee and Cocoa Research Journal),"Agriculture, Biological Sciences & Forestry"
"Journal of Economics, Business, and Accountancy | Ventura","Economics, Econometrics & Finance"
Amerta Nutrition,"Health Professions, Medicine & Pharmacology, Nursing, Public Health, Other"
"Media Riset Akuntansi, Auditing &Informasi","Economics, Econometrics & Finance"
EMITTER International Journal of Engineering Technology,Computer Science & IT
WARTAZOA. Indonesian Bulletin of Animal and Veterinary Sciences,Veterinary
Jurnal Tanaman Industri dan Penyegar,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Industrial & Manufacturing Engineering"
Journal on English as a Foreign Language (JEFL),"Languange, Linguistic, Communication & Media"
International Journal of Artificial Intelligence Research,"Computer Science & IT, Electrical & Electronics Engineering"
Jurnal Litbang Industri,Industrial & Manufacturing Engineering
Al Ibtida: Jurnal Pendidikan Guru MI,Education
Berkala Ilmu Perpustakaan dan Informasi,Library & Information Science
"RETORIKA: Jurnal Bahasa, Sastra, dan Pengajarannya","Languange, Linguistic, Communication & Media"
MIX: JURNAL ILMIAH MANAJEMEN,"Decision Sciences, Operations Research & Management"
Jurnal Nasional Teknik Elektro dan Teknologi Informasi (JNTETI),
Buletin Ilmiah Marina Sosial Ekonomi Kelautan dan Perikanan,"Agriculture, Biological Sciences & Forestry, Environmental Science"
Varia Justicia,"Law, Crime, Criminology & Criminal Justice"
Forum Geografi,Earth & Planetary Sciences
Jurnal Penelitian Politik,"Social Sciences, Other"
Buletin Peternakan,"Veterinary, Other"
Jurnal Kebijakan dan Administrasi Publik,"Decision Sciences, Operations Research & Management , Education, Public Health, Social Sciences"
Studies in English Language and Education,"Education, Languange, Linguistic, Communication & Media"
JDM (Jurnal Dinamika Manajemen),"Decision Sciences, Operations Research & Management"
Jurnal Agro,"Agriculture, Biological Sciences & Forestry"
Journal of Government and Civil Society,"Decision Sciences, Operations Research & Management , Economics, Econometrics & Finance, Social Sciences"
Intermestic: Journal of International Studies,Social Sciences
ISLAMICA: Jurnal Studi Keislaman,"Religion, Education"
Jurnal Tadris Kimiya,"Chemistry, Education"
Jurnal Pendidikan Islam,Education
Jurnal Akuntansi & Investasi,"Economics, Econometrics & Finance"
KAPAL Jurnal Ilmu Pengetahuan dan Teknologi Kelautan,Earth & Planetary Sciences
BULETIN OSEANOGRAFI MARINA,Earth & Planetary Sciences
Sari Pediatri,Health Professions
Jurnal Akuakultur Indonesia,"Agriculture, Biological Sciences & Forestry"
Paediatrica Indonesiana,"Health Professions, Medicine & Pharmacology"
Shirkah: Journal of Economics and Business,"Economics, Econometrics & Finance"
Lingua Cultura,"Languange, Linguistic, Communication & Media"
Jurnal Antropologi: Isu-Isu Sosial Budaya,"Arts, Humanities, Social Sciences"
Biosaintifika: Journal of Biology & Biology Education,"Agriculture, Biological Sciences & Forestry"
Al-A'raf : Jurnal Pemikiran Islam dan Filsafat,"Religion, Arts, Humanities, Social Sciences"
Journal of Indonesian Legal Studies,"Law, Crime, Criminology & Criminal Justice"
"Kinetik: Game Technology, Information System, Computer Network, Computing, Electronics, and Control","Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering, Energy, Engineering"
EDUKASIA,Education
IQTISHADIA,"Economics, Econometrics & Finance"
REiD (Research and Evaluation in Education),Education
Media Kesehatan Masyarakat Indonesia,Public Health
Jurnal Prima Edukasia,Education
BAWAL Widya Riset Perikanan Tangkap,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
Al-Ta lim Journal,Education
Journal of Tropical Crop Science,"Agriculture, Biological Sciences & Forestry"
Makara Journal of Technology,Computer Science & IT
Traditional Medicine Journal,"Health Professions, Medicine & Pharmacology, Public Health"
Psikis,Education
Jurnal Ilmiah HUBUNGAN INTERNASIONAL,"Languange, Linguistic, Communication & Media, Library & Information Science"
VALENSI,Chemistry
International Journal of Computing Science and Applied Mathematics,"Computer Science & IT, Education, Mathematics"
Jurnal Pengelolaan Sumberdaya Alam dan Lingkungan Hidup,Earth & Planetary Sciences
ARABIYAT,"Languange, Linguistic, Communication & Media"
Jurnal Bioteknologi & Biosains Indonesia (JBBI),"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Immunology & microbiology"
Al-Tahrir,"Religion, Other"
Al-Adalah,"Religion, Law, Crime, Criminology & Criminal Justice"
"Buletin Tanaman Tembakau, Serat & Minyak Industri","Agriculture, Biological Sciences & Forestry"
Jurnal Psikologi Sosial,"Arts, Humanities, Social Sciences, Other"
Humanitas: Indonesian Psychological Journal,"Arts, Humanities"
Jurnal Ilmu Kehutanan,"Agriculture, Biological Sciences & Forestry"
