JOURNAL_TITLE,JOURNAL_SUBJECTS
Journal of Health Education,"Education, Health Professions"
UNIFIKASI,Education
Journal of Physical Education Health and Sport,"Education, Health Professions"
Islamic Communication Journal,Education
Jurnal Pendidikan Geografi,"Earth & Planetary Sciences, Education"
Jurnal Ilmiah Al-Syir'ah,"Education, Languange, Linguistic, Communication & Media, Law, Crime, Criminology & Criminal Justice"
Pedagogia,Education
JURNAL PENDIDIKAN FISIKA,"Education, Physics"
Harmoni,Education
JURNAL PENDIDIKAN JASMANI DAN OLAHRAGA,"Education, Public Health"
IZDIHAR,"Education, Languange, Linguistic, Communication & Media"
FIBONACCI: Jurnal Pendidikan Matematika dan Matematika,"Education, Mathematics"
AL-ATHFAL : JURNAL PENDIDIKAN ANAK,Education
Journal of Natural Science and Integration,"Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Education"
Al-Hikmah: Jurnal Agama dan Ilmu Pengetahuan,"Economics, Econometrics & Finance, Education, Languange, Linguistic, Communication & Media, Other"
Jurnal Ilmiah Didaktika,Education
EDUHUMANIORA: Jurnal Pendidikan Dasar,"Arts, Humanities, Education"
EduChemia (Jurnal Kimia dan Pendidikan),"Chemical Engineering, Chemistry & Bioengineering, Chemistry, Education"
Profesi Pendidikan Dasar,Education
Jurnal Inovasi Pembelajaran (JINoP),Education
ELSE (Elementary School Education Journal) : Jurnal Pendidikan dan Pembelajaran Sekolah Dasar,"Education, Mathematics, Social Sciences"
Research Journal of Life Science,Education
Cakrawala: Jurnal Studi Islam,"Religion, Education"
Indonesian Journal of Informatics Education,"Computer Science & IT, Control & Systems Engineering, Education, Electrical & Electronics Engineering, Industrial & Manufacturing Engineering"
Edcomtech Jurnal Kajian Teknologi Pendidikan,"Arts, Humanities, Education, Social Sciences"
Journal of English Language Teaching and Linguistics,Education
Jurnal Akademika Kimia,"Chemistry, Education"
Sekolah Dasar: Kajian Teori dan Praktik Pendidikan,Education
"Sumatra Journal of Disaster, Geography and Geography Education",Education
DIDAKTIKA TAUHIDI: JURNAL PENDIDIKAN GURU SEKOLAH DASAR,"Education, Neuroscience, Social Sciences"
Elementary: Jurnal Ilmiah Pendidikan Dasar,Education
JBKI (Jurnal Bimbingan Konseling Indonesia),Education
Jurnal Manajemen & Supervisi Pendidikan,"Decision Sciences, Operations Research & Management , Education"
ENGAGEMENT : Jurnal Pengabdian Kepada Masyarakat,"Religion, Arts, Humanities, Education, Social Sciences, Other"
INTEK: Jurnal Penelitian,Education
Indonesian Journal of Guidance and Counseling: Theory and Application,"Education, Social Sciences, Other"
Jurnal VISI PPTK-PAUDNI,Education
Indonesian Journal of Science and Education,"Chemistry, Education, Environmental Science, Physics"
Jurnal Fourier,"Computer Science & IT, Economics, Econometrics & Finance, Education, Mathematics"
IJISH (International Journal of Islamic Studies and Humanities),"Religion, Humanities, Education, Languange, Linguistic, Communication & Media, Law, Crime, Criminology & Criminal Justice"
Al-MARSHAD: Jurnal Astronomi Islam dan Ilmu-Ilmu Berkaitan,"Astronomy, Education"
Math Didactic: Jurnal Pendidikan Matematika,Education
Jurnal Fisika FLUX,"Earth & Planetary Sciences, Education, Materials Science & Nanotechnology, Physics"
Jurnal Pendidikan Bisnis dan Manajemen,"Economics, Econometrics & Finance, Education"
Indonesian Language Education and Literature,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Social Sciences"
Ethical Lingua: Journal of Language Teaching and Literature,"Education, Languange, Linguistic, Communication & Media"
MIMBAR PENDIDIKAN,Education
Anterior Jurnal,"Agriculture, Biological Sciences & Forestry, Civil Engineering, Building, Construction & Architecture, Education, Medicine & Pharmacology, Social Sciences"
Jurnal Penelitian dan Pengembangan Pendidikan Luar Biasa,Education
Biota,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Education, Environmental Science, Medicine & Pharmacology"
AL-ASASIYYA: Journal Of Basic Education,"Arts, Humanities, Languange, Linguistic, Communication & Media"
Telematika,Education
EMARA Indonesian Journal of Architecture,"Civil Engineering, Building, Construction & Architecture, Education"
Murobbi: Jurnal Ilmu Pendidikan,Education
FITRAH:Jurnal Kajian Ilmu-ilmu Keislaman,"Religion, Education, Social Sciences"
Getsempena English Education Journal,Education
MUDARRISA Indonesian Journal of Islamic Education Studies,"Education, Social Sciences"
ISLAMUNA: Jurnal Studi Islam,Education
